id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
1234,1711,5,1236,False,1.2285823822021484,2,410,180,210,470
1586,1225,5,952,False,1.2486042976379395,1,470,410,20,410
634,946,5,443,False,1.1473240852355957,2,400,170,330,230
229,903,5,1902,False,1.2684478759765625,2,300,230,200,270
238,903,5,1902,False,1.1803410053253174,1,430,70,30,90
6,861,5,783,False,1.285964012145996,1,400,230,20,260
1222,783,5,1236,False,1.1777310371398926,2,280,60,270,290
422,780,5,294,False,1.1132056713104248,1,430,440,40,440
712,780,5,154,False,1.2144103050231934,1,390,230,150,300
1223,780,5,1236,False,1.1474502086639404,1,400,70,150,210
1822,780,5,41,False,1.2131552696228027,0,460,390,30,480
1854,780,5,488,False,1.2077202796936035,2,410,360,300,360
531,741,5,432,False,1.1461472511291504,1,400,100,20,100
1469,741,5,1656,False,1.1413443088531494,0,420,150,50,190
452,703,5,584,False,1.2279188632965088,0,430,160,30,360
94,666,5,942,False,1.1912171840667725,0,440,150,70,170
816,666,5,1099,False,20.09698224067688,0,480,310,100,300
1001,666,5,1204,False,20.08723521232605,0,480,460,110,450
1267,666,5,1530,False,1.2178759574890137,0,430,310,80,330
1572,666,5,634,False,1.1691999435424805,0,430,300,40,340
1667,666,5,586,False,20.027413368225098,1,400,420,140,420
1428,616,5,901,False,1.1670632362365723,1,420,190,140,240
248,595,5,663,False,1.2038371562957764,0,480,210,100,260
1051,595,5,1604,False,1.2540061473846436,0,400,380,50,440
269,561,5,1601,False,1.1663696765899658,1,440,330,160,380
1177,561,5,469,False,1.0174472332000732,0,460,50,20,160
1200,561,5,591,False,1.183880090713501,0,430,260,90,300
1840,561,5,41,False,1.1929066181182861,0,300,340,30,450
497,528,5,1924,False,1.2036261558532715,0,480,250,160,260
1532,528,5,137,False,1.1800932884216309,1,360,340,60,360
1605,528,5,1750,False,1.0599861145019531,0,430,150,30,230
1882,528,5,664,False,1.0320982933044434,0,410,130,40,190
563,496,5,1864,False,20.111186981201172,0,390,360,20,340
891,496,5,1011,False,1.146214246749878,0,430,150,90,290
934,496,5,1970,False,1.0875880718231201,0,450,120,50,220
1149,496,5,306,False,1.186445713043213,1,200,450,70,460
1228,496,5,1236,False,1.0308430194854736,1,120,130,80,400
1381,496,5,509,False,1.0739266872406006,0,390,100,30,220
1996,496,5,1858,False,0.9697513580322266,0,460,80,60,180
1997,496,5,1858,False,1.1805076599121094,0,330,430,20,440
416,465,5,1364,False,1.1306397914886475,1,120,310,20,330
625,465,5,443,False,20.107553720474243,0,450,30,140,20
725,465,5,310,False,1.0141663551330566,0,470,60,150,90
1400,465,5,509,False,1.0944197177886963,1,350,150,70,170
35,435,5,213,False,20.142789840698242,0,480,250,80,220
