id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
538,2851,17,1176,False,2.856463670730591,0,380,480,30,60
269,2850,17,1084,False,3.0471601486206055,0,430,450,70,40
1677,2775,17,1696,False,2.981663942337036,0,460,450,110,40
345,2701,17,1541,False,2.793034076690674,0,350,480,20,60
1359,2701,17,1093,False,2.8718984127044678,0,460,410,100,20
307,2485,17,1247,False,2.9713363647460938,0,400,450,80,50
1200,2485,17,21,False,2.9529640674591064,0,480,430,140,50
1465,2416,17,1813,False,2.789231061935425,0,380,440,60,50
1555,2416,17,856,False,2.7365565299987793,0,470,470,50,180
1527,2415,17,835,False,2.7138442993164062,0,440,340,40,30
160,2347,17,1222,False,3.1033108234405518,0,440,460,120,80
1424,2346,17,1710,False,2.8415510654449463,0,440,390,90,40
1566,2279,17,966,False,2.7848360538482666,0,420,450,70,110
184,2278,17,297,False,2.773550033569336,0,480,460,230,20
1697,2278,17,1844,False,2.5659055709838867,0,440,430,20,160
1604,2211,17,1220,False,2.760611057281494,0,470,420,70,140
1678,2211,17,1696,False,2.678295612335205,0,410,420,130,20
386,2145,17,11,False,3.0416038036346436,0,440,470,150,90
1096,2145,17,1039,False,2.591703176498413,0,390,450,40,130
290,2080,17,1152,False,2.820525884628296,0,450,350,80,60
734,1953,17,1178,False,2.775174140930176,0,390,430,130,50
998,1953,17,1934,False,2.529841899871826,0,360,420,40,100
1102,1953,17,1092,False,2.6754167079925537,0,290,460,70,40
1503,1953,17,561,False,2.5063223838806152,0,420,420,40,160
1522,1953,17,835,False,2.4199025630950928,0,420,450,20,210
1738,1891,17,1985,False,2.7542734146118164,0,450,470,230,60
1747,1891,17,76,False,2.516221523284912,0,460,320,50,100
1199,1831,17,21,False,2.6154489517211914,0,430,330,70,70
1298,1831,17,708,False,2.5572965145111084,0,460,460,60,240
1840,1831,17,813,False,2.5123720169067383,0,410,420,190,20
24,1830,17,513,False,2.4968535900115967,0,430,410,20,200
212,1830,17,470,False,2.6588857173919678,0,480,400,70,190
61,1771,17,1007,False,2.4951019287109375,0,460,400,30,220
1799,1771,17,366,False,2.647040605545044,0,480,370,190,50
1960,1771,17,1405,False,2.695096015930176,0,420,410,160,60
524,1770,17,1176,False,2.881187915802002,0,380,440,120,90
1571,1770,17,966,False,2.3962724208831787,0,460,370,20,200
1780,1770,17,82,False,2.6171061992645264,0,440,390,80,140
1857,1770,17,841,False,2.405522108078003,0,430,470,30,260
773,1711,17,1707,False,2.6061506271362305,0,430,350,140,40
1936,1711,17,1244,False,2.4443156719207764,0,460,310,50,120
404,1653,17,123,False,2.763503313064575,0,460,480,280,70
1788,1653,17,366,False,2.365205764770508,0,340,370,30,90
73,1597,17,1007,False,2.4944918155670166,0,270,470,50,110
298,1596,17,1152,False,2.434875965118408,0,260,390,40,30
459,1596,17,586,False,2.8606975078582764,0,390,480,190,100
553,1596,17,1800,False,2.8558812141418457,0,460,460,240,100
1353,1596,17,1093,False,2.405843734741211,0,270,440,40,90
1471,1596,17,1813,False,2.3350634574890137,0,300,350,20,50
797,1540,17,1742,False,2.659207820892334,0,480,370,100,180
889,1540,17,957,False,2.470797061920166,0,480,300,60,150
1674,1540,17,1696,False,2.732337474822998,0,460,330,130,90
1610,1485,17,1220,False,2.911638021469116,0,460,450,220,130
1694,1432,17,1844,False,2.6508004665374756,0,380,380,110,100
85,1431,17,1070,False,2.883261203765869,0,470,340,140,120
796,1431,17,1742,False,2.9963645935058594,0,480,480,260,150
1008,1431,17,57,False,2.5708742141723633,0,260,450,100,60
1025,1431,17,236,False,2.37796950340271,0,470,270,50,140
1406,1378,17,1517,False,2.293386936187744,0,210,390,40,20
1966,1378,17,1458,False,2.16955828666687,0,440,340,20,220
1797,1326,17,366,False,2.14817214012146,0,440,480,20,370
1943,1326,17,1405,False,2.5834414958953857,0,390,380,110,130
808,1275,17,1818,False,2.537698984146118,0,470,480,100,330
1730,1275,17,1985,False,2.2329351902008057,0,240,430,40,110
904,1226,17,991,False,2.816187620162964,0,460,460,280,130
1123,1226,17,1338,False,2.2584545612335205,0,330,250,40,30
1590,1226,17,1182,False,2.3954925537109375,0,290,360,80,60
1829,1226,17,813,False,2.512782335281372,0,440,430,280,80
1971,1226,17,1458,False,2.140617847442627,0,300,390,20,160
28,1225,17,513,False,2.258723735809326,0,320,270,30,50
504,1225,17,447,False,2.489380121231079,0,390,450,90,240
919,1225,17,991,False,2.4910762310028076,0,450,340,220,60
1631,1225,17,1410,False,2.328441858291626,0,440,440,340,30
1755,1225,17,76,False,2.495102643966675,0,410,400,230,70
1900,1225,17,1175,False,2.1975786685943604,0,420,150,40,20
487,1177,17,1914,False,2.5758237838745117,0,460,340,110,190
696,1176,17,794,False,2.5231006145477295,0,310,430,170,70
1474,1176,17,1813,False,2.3349661827087402,0,480,310,70,220
1746,1176,17,76,False,2.5369536876678467,0,480,350,240,90
1937,1176,17,1244,False,2.896481990814209,0,470,450,180,240
1686,1129,17,1844,False,2.2347280979156494,0,380,380,250,20
186,1128,17,297,False,2.8265697956085205,0,410,380,160,140
387,1128,17,11,False,2.188087224960327,0,410,440,30,330
1155,1128,17,1919,False,2.2571256160736084,0,440,350,280,20
1408,1128,17,1517,False,2.718621253967285,0,480,450,150,290
1675,1128,17,1696,False,2.3698532581329346,0,360,330,150,50
1499,1082,17,448,False,2.0878188610076904,0,320,210,20,30
1671,1082,17,1696,False,2.2073974609375,0,480,170,150,20
295,1081,17,1152,False,2.269580841064453,0,430,130,60,20
351,1081,17,1541,False,2.6804802417755127,0,420,410,140,210
574,1081,17,55,False,2.354677677154541,0,210,440,130,40
1176,1081,17,1947,False,2.12697434425354,0,320,290,30,100
1197,1081,17,21,False,2.1261017322540283,0,310,310,30,110
1271,1081,17,689,False,2.3663113117218018,0,380,250,100,50
1613,1081,17,1220,False,2.39456844329834,0,270,460,190,60
1787,1081,17,366,False,2.2765743732452393,0,340,440,70,230
1862,1075,17,890,False,20.019267559051514,0,470,460,260,230
501,1074,17,447,False,20.09561014175415,0,440,480,290,190
518,1035,17,447,False,2.2588250637054443,0,160,480,60,110
590,1035,17,14,False,2.485182285308838,0,380,360,190,80
