id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
1465,5984,0,-1,False,4.587263345718384,7,440,20,300,220
771,3145,0,-1,False,20.06780195236206,1,420,80,30,330
1393,2926,0,-1,False,1.6652603149414062,2,200,180,120,470
1478,2713,0,-1,False,1.889084815979004,2,380,80,380,470
908,2701,0,-1,False,1.6835484504699707,2,60,50,390,220
1655,2701,0,-1,False,20.029380798339844,1,380,170,20,40
1032,2211,0,-1,False,20.056655883789062,1,480,240,100,360
250,2080,0,-1,False,1.5208117961883545,1,160,350,480,30
1273,2080,0,-1,False,1.924187183380127,2,400,240,420,350
1899,1953,0,-1,False,20.007121324539185,0,460,240,60,470
710,1891,0,-1,False,1.5670170783996582,1,450,30,360,380
1309,1848,0,-1,False,1.5864720344543457,1,210,160,360,40
1797,1842,0,-1,False,20.011663913726807,2,180,420,460,410
796,1732,0,-1,False,20.06675934791565,0,20,430,270,40
6,1711,0,-1,False,1.5635120868682861,1,420,130,170,90
284,1711,0,-1,False,1.530470609664917,1,250,60,130,250
953,1653,0,-1,False,20.05990195274353,1,350,400,40,140
1530,1653,0,-1,False,1.668724775314331,1,440,400,60,210
1573,1653,0,-1,False,20.032676696777344,1,200,40,420,390
101,1596,0,-1,False,1.5704460144042969,1,190,70,220,470
434,1596,0,-1,False,1.6099224090576172,3,100,110,380,270
1586,1596,0,-1,False,1.5118598937988281,1,220,50,480,350
1349,1540,0,-1,False,20.04297399520874,0,70,330,430,20
299,1485,0,-1,False,20.08805751800537,1,20,230,280,410
1192,1444,0,-1,False,1.5910203456878662,1,310,350,420,190
1735,1431,0,-1,False,20.014177560806274,1,90,230,40,430
209,1378,0,-1,False,1.3727293014526367,1,110,330,480,480
820,1378,0,-1,False,20.065786838531494,1,390,450,280,160
1486,1378,0,-1,False,1.4732890129089355,1,430,220,210,310
353,1275,0,-1,False,1.4276885986328125,0,60,380,430,150
1605,1275,0,-1,False,1.478743076324463,0,410,90,120,320
152,1225,0,-1,False,20.094730854034424,0,150,450,280,50
308,1225,0,-1,False,20.0876784324646,0,30,20,460,100
1226,1225,0,-1,False,1.589827060699463,1,290,470,220,50
845,1176,0,-1,False,1.5202510356903076,1,440,410,160,210
923,1176,0,-1,False,1.4175827503204346,1,410,360,170,120
1913,1176,0,-1,False,1.2970221042633057,1,470,440,370,60
