id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
560,3403,6,1840,False,1.865032434463501,2,410,40,180,370
802,3321,6,416,False,2.006101608276367,1,470,80,60,480
503,3240,6,1177,False,1.8634920120239258,1,460,80,40,460
74,3160,6,229,False,1.9877958297729492,1,480,20,140,420
249,3081,6,531,False,1.872504711151123,1,470,50,90,390
268,2775,6,1469,False,1.8395602703094482,2,380,30,70,270
775,2775,6,1996,False,1.8662643432617188,2,460,50,370,150
1229,2775,6,1895,False,1.8072588443756104,1,470,120,40,430
817,2701,6,416,False,1.7926077842712402,1,350,50,50,480
1270,2701,6,651,False,1.940537452697754,1,450,30,80,390
1427,2701,6,525,False,1.778191089630127,2,480,40,380,80
1523,2701,6,792,False,1.799804449081421,2,390,50,380,220
1611,2701,6,1306,False,1.768453598022461,1,430,30,120,450
122,2628,6,1222,False,1.832261323928833,1,370,450,70,30
611,2556,6,1605,False,1.8322103023529053,1,480,90,90,410
1898,2556,6,1420,False,20.04189419746399,1,320,20,70,480
907,2485,6,53,False,20.09562587738037,1,450,20,190,460
1509,2485,6,512,False,1.8054134845733643,3,390,30,250,90
178,2415,6,712,False,1.8316054344177246,1,420,140,20,430
862,2415,6,1400,False,1.8915691375732422,1,460,40,220,480
461,2278,6,1051,False,1.7909183502197266,1,430,90,120,150
868,2278,6,1400,False,1.7563104629516602,1,320,100,20,470
918,2278,6,53,False,1.8366873264312744,1,450,90,30,340
991,2278,6,213,False,1.78863525390625,2,420,130,160,180
1115,2278,6,172,False,1.7993619441986084,3,480,40,240,110
1746,2278,6,606,False,20.050074338912964,1,450,70,130,420
960,2211,6,1683,False,20.092880249023438,1,460,30,200,430
1663,2211,6,255,False,1.7082679271697998,1,460,190,80,300
311,2145,6,94,False,1.957221508026123,1,410,50,90,380
372,2145,6,1267,False,1.7584943771362305,1,210,20,20,480
1616,2145,6,1306,False,1.702763319015503,1,390,150,60,360
502,2080,6,1177,False,1.760577917098999,1,270,70,20,460
901,2080,6,53,False,1.7746257781982422,2,410,140,280,220
931,2080,6,380,False,1.8449373245239258,1,480,80,50,290
1444,2080,6,1790,False,1.7266571521759033,1,400,180,20,440
1660,2080,6,116,False,1.8023855686187744,2,480,20,340,120
8,2016,6,1234,False,1.783503770828247,2,450,480,280,420
550,2016,6,1840,False,1.8564741611480713,1,410,60,20,130
932,2016,6,380,False,1.713371992111206,1,420,170,100,480
1243,2016,6,1941,False,1.8999509811401367,1,210,30,40,440
1579,2016,6,1212,False,1.7045156955718994,2,340,60,260,220
1768,2016,6,702,False,1.8093464374542236,1,410,20,240,460
1835,2016,6,1213,False,1.691441297531128,1,410,100,130,270
1986,2016,6,1237,False,1.7098381519317627,2,400,420,170,290
25,1953,6,1586,False,1.7632160186767578,1,280,70,60,450
