id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
1123,3741,11,1080,1.6693222522735596,1,480,50,30,460
289,3655,11,474,1.70920991897583,1,460,30,50,260
1384,3240,11,422,1.63344144821167,2,410,20,190,100
1695,3081,11,1102,1.6141417026519775,2,450,120,310,250
514,2926,11,1870,1.669940710067749,1,390,60,40,460
1161,2850,11,1757,1.6423344612121582,1,410,50,50,440
1060,2775,11,1189,1.635072946548462,1,480,30,380,470
1754,2775,11,645,1.6305749416351318,2,480,30,260,250
215,2701,11,172,1.6911320686340332,1,370,40,30,400
397,2701,11,376,1.670654535293579,1,470,130,210,460
180,2628,11,1610,1.6928424835205078,1,430,60,70,240
1320,2628,11,203,1.6239571571350098,2,360,30,330,340
433,2556,11,71,1.6744139194488525,1,460,70,230,420
563,2485,11,940,1.6719071865081787,1,480,80,100,400
1394,2485,11,422,1.6053643226623535,1,390,90,60,460
1900,2485,11,1595,1.5494616031646729,2,350,80,220,220
46,2415,11,510,1.6898441314697266,1,450,110,70,420
302,2415,11,1706,1.663776159286499,1,440,70,130,450
940,2415,11,187,1.6466238498687744,2,390,80,360,370
1442,2415,11,829,1.62764310836792,1,410,60,40,310
1973,2346,11,929,1.538261890411377,2,400,20,230,140
218,2278,11,172,1.681105136871338,1,430,130,30,400
465,2278,11,1483,1.6727793216705322,1,370,50,30,160
1798,2278,11,1930,1.6164205074310303,1,440,80,20,330
1936,2278,11,550,1.544173002243042,2,380,70,370,260
1988,2211,11,282,1.5332989692687988,2,410,180,90,400
158,2145,11,717,1.655867576599121,1,390,140,50,240
710,2145,11,963,1.6178958415985107,1,390,160,50,470
890,2145,11,809,1.6123993396759033,2,400,170,290,380
1282,2145,11,1824,1.5954079627990723,2,440,100,180,170
1761,2145,11,219,1.6078832149505615,2,370,30,250,280
1952,2145,11,615,1.539452075958252,2,370,80,300,220
50,2080,11,510,1.6467063426971436,1,270,60,40,470
63,2080,11,1491,20.142882585525513,1,420,20,50,290
892,2080,11,809,1.6033623218536377,1,370,140,60,470
1179,2080,11,1757,1.5928270816802979,1,420,100,230,460
1573,2080,11,1298,1.596479892730713,1,470,60,170,330
528,2016,11,3,1.6601941585540771,1,470,150,60,370
714,2016,11,963,1.6128296852111816,1,470,30,270,460
1198,2016,11,1353,1.5870459079742432,1,450,120,160,230
1235,2016,11,824,1.5940651893615723,2,400,30,270,320
493,1953,11,1222,1.623901128768921,1,420,50,200,450
754,1953,11,201,1.6005871295928955,1,360,170,40,370
1406,1953,11,521,1.5700178146362305,2,300,30,240,40
1724,1953,11,1236,1.5438060760498047,1,390,230,20,480
1813,1953,11,695,1.5800106525421143,1,480,110,140,390
322,1891,11,1249,1.6381566524505615,1,410,190,40,430
375,1891,11,1839,1.613731861114502,1,340,170,30,470
519,1891,11,1870,1.6967265605926514,1,430,30,20,230
673,1891,11,505,1.653000831604004,1,420,60,100,350
849,1891,11,1458,1.6628341674804688,1,470,20,330,290
955,1891,11,1810,1.6219146251678467,1,410,40,220,390
1641,1891,11,329,1.5774435997009277,1,440,220,20,410
1650,1891,11,329,1.5474746227264404,1,350,110,100,470
1941,1891,11,615,1.5358519554138184,1,460,190,70,360
703,1830,11,963,1.5910234451293945,2,330,120,140,220
741,1830,11,201,1.624539852142334,1,410,20,360,400
970,1830,11,328,1.6451194286346436,1,410,50,70,310
1011,1830,11,1950,1.6375205516815186,1,420,130,20,330
1536,1830,11,599,1.5469603538513184,1,480,260,90,470
1812,1830,11,695,1.5919036865234375,1,370,20,220,340
1848,1830,11,1136,1.5315935611724854,1,430,170,80,420
287,1770,11,474,1.6344358921051025,1,470,230,70,270
382,1770,11,376,1.624406337738037,2,240,60,230,70
1106,1770,11,873,1.575761079788208,1,470,190,140,190
1128,1770,11,1080,20.08425998687744,2,380,70,70,190
1649,1770,11,329,1.5354747772216797,1,480,230,130,470
141,1711,11,717,1.606945276260376,1,460,290,60,400
1336,1711,11,206,1.6086609363555908,1,430,40,150,340
2000,1711,11,282,1.4910671710968018,1,410,40,250,250
318,1653,11,1706,1.6383211612701416,2,360,60,260,290
396,1653,11,376,1.6480488777160645,3,450,130,230,140
1471,1653,11,734,1.5254969596862793,2,440,120,310,150
1991,1653,11,282,1.5410823822021484,1,330,40,70,290
821,1596,11,671,1.6298270225524902,3,410,150,140,180
1467,1596,11,734,1.5256664752960205,1,350,220,40,330
1707,1596,11,1526,1.513190507888794,2,440,110,400,200
1943,1596,11,615,1.4672582149505615,1,320,150,90,480
1961,1596,11,929,1.4931533336639404,2,380,180,260,280
349,1540,11,441,1.5898549556732178,1,290,110,80,450
462,1540,11,1483,1.6033308506011963,1,320,40,150,420
687,1540,11,475,1.6088008880615234,1,340,120,60,370
869,1540,11,455,1.5942630767822266,2,430,230,280,400
1056,1540,11,1189,1.5465030670166016,1,220,30,100,460
1207,1540,11,1408,1.5241477489471436,1,170,80,20,480
1571,1540,11,1298,1.5206005573272705,1,260,90,80,340
343,1485,11,441,1.575747013092041,1,330,110,140,350
984,1485,11,1723,1.556410312652588,1,160,20,40,440
990,1485,11,1723,1.587411642074585,1,450,230,70,390
1211,1485,11,1408,1.544739007949829,1,450,70,280,440
1330,1485,11,206,1.5641741752624512,1,430,70,220,400
1358,1485,11,1908,1.5312323570251465,1,370,130,150,450
1751,1485,11,645,1.4966611862182617,3,370,260,330,260
1765,1485,11,219,1.510369062423706,3,370,160,310,160
1966,1485,11,929,1.505056619644165,1,400,50,280,400
500,1431,11,1222,1.6134092807769775,1,430,260,20,380
1541,1431,11,679,1.5948855876922607,1,340,60,50,300
1692,1431,11,1102,1.4995296001434326,2,350,100,310,200
1980,1431,11,929,1.4432995319366455,2,420,340,200,380
1986,1431,11,282,1.4512064456939697,1,410,270,80,470
