id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
225,1035,11,1149,False,1.3151698112487793,0,60,480,410,20
307,1035,11,1149,False,1.34889817237854,0,130,480,300,30
1263,990,11,1648,False,1.2032997608184814,0,40,480,90,40
1342,946,11,1648,False,1.3393871784210205,0,300,470,440,40
343,903,11,1149,False,1.3928418159484863,0,250,450,470,30
418,903,11,1903,False,1.302882432937622,0,100,440,210,20
1847,903,11,1509,False,1.1024105548858643,0,20,480,100,60
621,861,11,1818,False,1.2451725006103516,1,390,470,390,60
1042,861,11,1864,False,1.2569971084594727,0,130,470,250,60
1119,861,11,1864,False,1.3328266143798828,0,280,460,400,50
