id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
468,2293011,0,-1,False,20.08383822441101,62,130,180,110,40
1147,30381,0,-1,False,20.05414342880249,6,110,40,290,330
297,10998,0,-1,False,4.117772579193115,12,320,440,70,220
1611,6641,0,-1,False,20.03456711769104,7,240,80,210,450
188,4851,0,-1,False,20.095752954483032,2,190,30,370,130
1979,3655,0,-1,False,1.588568925857544,2,80,170,270,440
511,2609,0,-1,False,20.081600666046143,0,360,420,310,290
828,2415,0,-1,False,1.5094265937805176,2,440,410,380,290
1606,1953,0,-1,False,1.4086477756500244,2,100,350,370,340
699,1596,0,-1,False,20.07337760925293,1,90,360,440,150
