id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
367,3741,12,1721,2.2871766090393066,0,35,474,478,40
627,3161,12,336,2.2582454681396484,0,28,468,461,77
1616,3004,12,1173,2.321377754211426,1,68,275,77,455
953,3003,12,1646,2.2266154289245605,1,197,48,205,432
1728,2927,12,1114,2.436124086380005,1,92,25,89,401
1123,2926,12,1710,2.191041946411133,0,57,407,472,20
1023,2556,12,1060,2.1474952697753906,0,131,461,465,40
1969,2485,12,590,2.126077890396118,1,344,106,353,432
1163,2347,12,171,2.141941547393799,0,100,416,465,50
1984,2278,12,903,2.2430784702301025,0,42,459,370,70
1977,2081,12,590,2.043579339981079,0,71,442,466,148
605,1954,12,1909,2.07283878326416,0,50,344,472,104
1586,1892,12,142,2.0475423336029053,0,58,466,466,210
1747,1892,12,1339,2.191368341445923,0,41,468,297,67
1091,1891,12,1309,2.011937379837036,0,93,389,472,101
1173,1891,12,171,2.1315066814422607,0,32,309,394,25
179,1831,12,886,2.1939339637756348,0,70,332,415,32
299,1831,12,1354,2.3343987464904785,0,30,454,336,110
508,1831,12,1050,2.170180082321167,0,210,475,426,44
774,1831,12,58,2.0455634593963623,0,27,414,463,214
471,1712,12,799,2.1616785526275635,0,141,454,342,38
1881,1711,12,1894,1.9389622211456299,0,121,347,469,64
736,1654,12,1931,2.083956480026245,0,32,451,437,236
766,1654,12,58,2.1971652507781982,0,46,461,257,65
440,1653,12,1893,1.9854118824005127,0,199,411,472,78
396,1597,12,1807,2.0137951374053955,0,68,235,462,21
1058,1597,12,1782,2.221173048019409,0,104,467,330,89
1632,1596,12,1599,2.069126844406128,1,130,370,463,370
628,1541,12,336,2.0170140266418457,0,101,277,442,27
308,1540,12,1363,2.1010210514068604,1,65,308,395,305
414,1486,12,1948,2.1211564540863037,0,207,460,367,20
713,1486,12,603,2.0847954750061035,0,210,425,392,29
801,1486,12,598,2.1672184467315674,0,25,454,217,66
1435,1486,12,5,2.040015935897827,0,75,371,429,143
1764,1485,12,1489,1.9168798923492432,2,111,93,411,89
582,1432,12,1702,2.102595329284668,0,23,270,361,27
