id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
460,3003,12,204,False,1.3605523109436035,2,480,100,210,190
1268,2625,12,32,False,1.3258230686187744,2,430,150,40,310
424,2485,12,1795,False,1.3418362140655518,1,380,110,40,340
1223,2485,12,1631,False,1.321413516998291,2,480,150,40,230
185,2415,12,551,False,1.3621227741241455,3,410,200,120,320
1759,2346,12,595,False,1.2783772945404053,1,340,20,30,340
153,2211,12,1646,False,1.3677308559417725,1,440,60,100,380
1190,2145,12,1322,False,1.3155019283294678,1,460,70,70,150
1079,2080,12,1535,False,1.3237357139587402,2,430,130,30,280
1588,2080,12,458,False,1.2867376804351807,2,460,30,190,160
302,2016,12,1143,False,1.3717291355133057,2,420,40,210,260
1164,2016,12,1301,False,1.2968521118164062,1,420,100,100,410
1956,2016,12,145,False,1.257035255432129,2,460,150,150,320
1075,1953,12,1535,False,1.2842307090759277,2,410,230,280,460
1679,1953,12,1965,False,1.2619547843933105,2,400,120,170,270
1748,1953,12,595,False,1.2491803169250488,1,260,50,40,450
421,1891,12,1795,False,1.34197998046875,1,420,30,320,470
753,1891,12,73,False,1.308659553527832,1,450,220,50,360
878,1891,12,620,False,1.3099079132080078,1,430,70,150,400
1887,1891,12,1785,False,1.2824413776397705,1,470,20,70,230
1959,1891,12,145,False,1.2346155643463135,1,270,50,60,450
63,1830,12,836,False,1.370361328125,2,460,20,240,130
1600,1830,12,458,False,1.2544445991516113,2,470,70,350,360
1896,1830,12,1785,False,1.272383213043213,1,150,20,110,450
327,1813,12,218,False,1.3742780685424805,3,320,80,30,240
1971,1770,12,209,False,1.2372217178344727,4,260,190,340,250
292,1711,12,589,False,1.322223424911499,2,350,150,170,400
315,1711,12,1143,False,1.3560974597930908,1,330,40,20,310
1238,1711,12,1631,False,1.307976245880127,2,390,40,100,280
1374,1711,12,1075,False,1.264127492904663,1,270,60,140,480
1656,1711,12,910,False,1.279336929321289,2,340,20,140,100
922,1707,12,1852,False,1.3478553295135498,2,430,20,120,150
1092,1659,12,22,False,1.3200719356536865,1,60,40,70,470
71,1653,12,836,False,1.3236713409423828,1,210,80,20,460
1050,1653,12,904,False,1.3124103546142578,1,290,30,240,440
1127,1653,12,937,False,1.309816837310791,1,380,40,70,270
1598,1653,12,458,False,1.2664897441864014,1,260,20,40,370
1899,1653,12,1785,False,1.2497429847717285,2,400,60,240,280
1072,1596,12,1535,False,1.2782368659973145,2,270,120,200,440
619,1540,12,575,False,1.3224153518676758,1,320,40,240,440
985,1540,12,103,False,1.3245034217834473,1,440,20,120,250
1247,1540,12,1991,False,1.2741916179656982,1,350,130,60,390
1262,1509,12,32,False,1.3017163276672363,2,260,60,380,240
371,1485,12,835,False,1.298905849456787,1,250,90,70,450
