id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
8,115440,8,1735,20.143478870391846,0,466,83,143,319
9,115440,8,1735,20.143441915512085,1,390,26,476,264
15,115440,8,1735,20.143160820007324,1,270,180,101,461
16,115440,8,1735,20.143121480941772,2,87,85,164,385
17,115440,8,1735,20.14307975769043,1,41,124,187,425
18,115440,8,1735,20.143041372299194,1,64,210,162,442
20,115440,8,1735,20.14295482635498,1,272,135,85,327
27,115440,8,1360,20.139630794525146,1,49,302,192,427
35,115440,8,1360,20.139294624328613,3,227,23,327,260
40,115440,8,1360,20.139084577560425,1,341,24,417,220
46,115440,8,244,20.138808727264404,2,317,77,210,88
54,115440,8,244,20.138411045074463,0,391,29,49,179
55,115440,8,244,20.13836979866028,2,307,100,271,194
58,115440,8,244,20.138252019882202,2,209,20,65,105
60,115440,8,244,20.138126611709595,1,360,128,96,248
61,115440,8,1856,20.138086795806885,1,319,79,362,458
66,115440,8,1856,20.137850522994995,1,284,63,430,211
67,115440,8,1856,20.13780426979065,0,190,326,446,25
73,115440,8,1856,20.13743805885315,2,87,61,277,330
84,115440,8,1882,20.136887311935425,1,277,120,439,384
89,115440,8,1882,20.136677026748657,1,94,140,182,194
93,115440,8,1882,20.136507272720337,0,419,36,48,210
95,115440,8,1882,20.136423587799072,1,82,24,43,428
96,115440,8,1882,20.136385202407837,2,354,83,336,213
104,115440,8,1481,20.135993242263794,1,236,177,105,464
106,115440,8,1481,20.135915994644165,0,209,455,443,102
113,115440,8,1481,20.13562822341919,0,88,428,463,151
117,115440,8,1481,20.135361909866333,1,274,85,143,391
122,115440,8,1404,20.135104656219482,0,480,53,175,388
125,115440,8,1404,20.13495898246765,1,155,44,20,297
127,115440,8,1404,20.1348614692688,0,276,45,129,478
137,115440,8,1404,20.13432002067566,0,74,348,317,48
153,115440,8,320,20.133594036102295,0,464,284,52,423
155,115440,8,320,20.13351607322693,0,81,390,464,204
158,115440,8,320,20.133397579193115,0,91,20,155,467
159,115440,8,320,20.13335657119751,0,273,30,435,465
161,115440,8,1646,20.133275747299194,1,444,53,367,159
163,115440,8,1646,20.13319420814514,1,258,321,43,379
171,115440,8,1646,20.13282823562622,1,389,87,246,147
180,115440,8,1646,20.132436990737915,0,386,60,307,473
185,115440,8,1442,20.132226705551147,1,456,238,177,388
193,115440,8,1442,20.12803626060486,1,204,339,96,405
195,115440,8,1442,20.127946853637695,1,144,122,281,272
198,115440,8,1442,20.127824306488037,1,366,29,337,370
200,115440,8,1442,20.12774348258972,1,233,235,416,397
211,115440,8,686,20.127170085906982,3,151,37,191,44
212,115440,8,686,20.12710928916931,0,391,135,123,468
217,115440,8,686,20.126830101013184,1,219,109,345,479
226,115440,8,1362,20.126371145248413,2,469,32,369,57
235,115440,8,1362,20.125847578048706,1,311,116,162,290
238,115440,8,1362,20.12571692466736,0,334,52,469,436
245,115440,8,1850,20.125346660614014,1,248,292,37,442
246,115440,8,1850,20.125307083129883,1,291,264,182,472
251,115440,8,1850,20.125110149383545,1,119,50,313,77
253,115440,8,1850,20.1250262260437,1,279,310,115,460
267,115440,8,615,20.124408721923828,0,51,41,231,471
269,115440,8,615,20.12431788444519,2,389,35,355,26
274,115440,8,615,20.12410807609558,0,398,25,235,409
276,115440,8,615,20.124025583267212,2,444,106,299,143
279,115440,8,615,20.12390160560608,2,305,174,325,174
300,115440,8,311,20.12268877029419,2,395,22,398,31
306,115440,8,1451,20.12242293357849,2,196,89,107,82
307,115440,8,1451,20.12238097190857,2,346,119,173,114
314,115440,8,1451,20.122000455856323,1,97,42,151,437
323,115440,8,251,20.121567726135254,1,35,36,100,67
324,115440,8,251,20.12152910232544,2,474,131,323,201
326,115440,8,251,20.121439695358276,1,86,271,38,335
330,115440,8,251,20.12122368812561,1,384,245,168,437
332,115440,8,251,20.121077299118042,1,341,184,39,339
333,115440,8,251,20.12100648880005,1,324,99,419,463
336,115440,8,251,20.120867252349854,1,321,28,283,351
341,115440,8,480,20.120577573776245,3,182,96,254,139
346,115440,8,480,20.12033462524414,0,406,235,53,470
347,115440,8,480,20.120293617248535,0,262,479,472,142
348,115440,8,480,20.12024974822998,0,283,48,410,455
352,115440,8,480,20.120027780532837,0,446,139,135,348
358,115440,8,480,20.119678258895874,1,277,196,35,358
361,115440,8,650,20.11950707435608,1,157,168,93,406
365,115440,8,650,20.119333505630493,1,157,167,291,411
366,115440,8,650,20.119291067123413,1,131,367,77,407
368,115440,8,650,20.119208812713623,2,435,196,329,392
369,115440,8,650,20.11916708946228,2,55,396,139,404
371,115440,8,650,20.11909532546997,1,181,445,52,472
382,115440,8,1246,20.118523836135864,1,100,50,250,111
392,115440,8,1246,20.118033170700073,1,287,225,111,349
393,115440,8,1246,20.117990970611572,0,236,54,428,368
394,115440,8,1246,20.11795139312744,1,439,84,443,350
398,115440,8,1246,20.117790937423706,2,138,48,239,263
407,115440,8,125,20.11736249923706,1,284,69,372,381
408,115440,8,125,20.117318630218506,2,405,97,244,203
410,115440,8,125,20.11667251586914,1,393,128,254,373
411,115440,8,125,20.116623878479004,1,398,270,125,415
414,115440,8,125,20.116496324539185,1,199,28,380,31
419,115440,8,125,20.11626362800598,2,262,178,52,346
422,115440,8,1061,20.11613440513611,0,345,192,50,398
424,115440,8,1061,20.11605191230774,2,390,107,318,132
426,115440,8,1061,20.115976572036743,1,258,78,144,150
429,115440,8,1061,20.0954327583313,0,394,50,199,366
434,115440,8,1061,20.095189094543457,1,244,292,421,382
435,115440,8,1061,20.095141172409058,1,313,80,161,334
