id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
1601,4005,18,1295,1.7001900672912598,1,300,40,30,220
606,3685,18,948,1.912067174911499,2,90,60,30,230
569,3415,18,571,1.9131135940551758,3,430,50,110,50
1561,2716,18,1758,1.8291025161743164,2,60,110,100,250
409,2556,18,1522,1.7245237827301025,1,440,20,40,80
1025,2556,18,1108,1.732400894165039,1,160,100,50,250
1555,2556,18,1629,1.6106541156768799,1,450,90,130,220
1846,2493,18,1009,1.6942827701568604,1,60,50,120,240
75,2485,18,974,1.7260773181915283,1,480,140,80,240
1919,2415,18,1754,1.6298038959503174,1,280,80,30,220
735,2403,18,1050,1.8068280220031738,2,440,240,60,310
310,2319,18,1217,1.8472919464111328,2,390,60,110,140
87,2278,18,33,1.7531700134277344,1,380,40,80,170
905,2211,18,1671,1.6908912658691406,1,320,220,50,380
1448,2082,18,1450,1.790609359741211,2,120,30,190,310
1424,2080,18,983,1.6421325206756592,1,360,80,160,200
1870,2080,18,1428,1.6677641868591309,1,300,110,30,290
798,1982,18,102,1.7924129962921143,1,30,100,50,380
1040,1978,18,1108,1.7760074138641357,2,240,210,20,210
1109,1953,18,1971,1.5868847370147705,1,430,270,20,270
1423,1953,18,983,1.6899847984313965,1,170,130,40,280
1471,1953,18,1892,1.568910837173462,1,450,220,70,240
1333,1946,18,468,1.773749589920044,3,200,60,180,90
1298,1938,18,185,1.7394754886627197,2,440,200,80,260
188,1891,18,1036,1.6713790893554688,1,370,130,40,220
212,1891,18,436,1.7232563495635986,1,390,220,50,390
853,1891,18,908,1.6351029872894287,1,380,130,40,250
1842,1891,18,1009,1.5665807723999023,1,480,80,190,150
1945,1891,18,1053,1.6715748310089111,2,360,120,60,180
1708,1847,18,259,1.823887825012207,4,90,50,140,160
545,1830,18,43,1.6846413612365723,1,400,100,210,210
1969,1830,18,19,1.526188850402832,1,480,300,40,460
129,1815,18,1400,1.8821194171905518,2,90,40,50,120
841,1770,18,908,1.5932390689849854,1,390,130,140,150
869,1770,18,957,1.5966453552246094,1,390,200,60,300
1533,1761,18,1336,1.741908073425293,2,50,70,30,90
788,1711,18,102,1.7372159957885742,1,60,300,30,460
486,1687,18,1067,1.781801462173462,1,90,50,160,480
1963,1663,18,19,1.735889196395874,3,160,120,80,150
337,1654,18,1259,1.7816359996795654,1,30,250,40,410
1573,1641,18,1758,1.7230026721954346,2,260,30,80,180
39,1596,18,213,1.638256311416626,1,410,290,40,330
573,1596,18,571,1.6096582412719727,1,390,110,160,140
793,1485,18,102,1.7369554042816162,1,130,190,50,340
913,1485,18,1671,1.5941495895385742,1,480,300,50,410
1032,1485,18,1108,1.7098004817962646,1,240,190,100,340
1667,1485,18,142,1.6786675453186035,1,80,210,40,360
207,1431,18,436,1.7901804447174072,1,150,60,40,210
422,1431,18,712,1.6964328289031982,1,260,270,50,420
1466,1431,18,1892,1.6266272068023682,1,390,190,100,340
1546,1431,18,1629,1.6533894538879395,1,270,220,110,370
1791,1431,18,632,1.6141889095306396,1,270,230,50,380
1372,1386,18,900,1.6904170513153076,2,470,130,160,260
266,1378,18,93,1.7421905994415283,1,130,260,120,390
1816,1378,18,755,1.4941601753234863,1,480,340,70,420
1677,1303,18,142,1.6894586086273193,1,20,160,90,340
1078,1296,18,1804,1.7163310050964355,1,70,270,120,420
159,1282,18,1673,1.810044765472412,3,420,280,150,300
1479,1278,18,1892,1.632096290588379,1,140,160,160,250
543,1276,18,43,1.7748277187347412,1,50,110,60,250
28,1275,18,213,1.72853684425354,1,310,220,50,360
289,1275,18,1152,1.716012716293335,1,260,170,20,310
480,1275,18,1039,1.766784906387329,2,300,100,80,230
813,1275,18,328,1.703803539276123,1,330,80,70,220
1676,1275,18,142,1.6547753810882568,1,250,160,120,300
1721,1275,18,460,1.6311814785003662,1,140,260,30,400
1047,1254,18,1431,1.7194008827209473,1,80,170,150,480
1463,1237,18,1892,1.6961486339569092,1,50,90,140,420
344,1226,18,1571,1.7629294395446777,2,350,120,360,160
131,1225,18,1400,1.6416773796081543,1,360,80,190,100
1687,1219,18,237,1.6722612380981445,2,420,100,20,140
599,1217,18,619,1.7380423545837402,1,30,180,110,370
1939,1217,18,1757,1.692445993423462,1,30,40,100,260
5,1176,18,262,1.708115816116333,1,470,180,90,280
726,1176,18,1050,1.6417407989501953,1,470,210,50,270
1266,1176,18,165,1.617293357849121,1,370,70,100,180
1273,1176,18,165,1.5821146965026855,1,310,130,40,240
495,1158,18,1067,1.7320616245269775,2,440,320,80,350
1605,1156,18,1295,1.6736950874328613,2,300,240,240,300
1818,1134,18,755,1.6708259582519531,2,420,190,230,210
349,1128,18,1571,1.7063257694244385,1,120,210,60,320
454,1128,18,835,1.6213233470916748,1,370,240,40,370
1809,1128,18,755,1.5684432983398438,1,400,160,30,260
930,1091,18,1851,1.706045389175415,1,20,290,60,420
40,1087,18,213,1.7735090255737305,1,20,310,50,440
719,1081,18,834,1.638221025466919,1,220,260,100,370
1171,1081,18,1842,1.670757532119751,1,420,50,160,180
1220,1081,18,123,1.5766384601593018,3,480,270,240,280
1587,1081,18,1799,1.6556396484375,1,360,40,140,170
1524,1056,18,1336,1.704010009765625,1,30,50,120,300
97,1035,18,33,1.7526719570159912,1,410,20,50,80
423,1035,18,712,1.514002799987793,0,80,20,420,470
491,1035,18,1067,1.669238567352295,1,240,60,200,130
971,1035,18,1749,1.5492727756500244,1,430,270,100,390
1170,1035,18,1842,1.4680285453796387,1,390,370,40,470
1782,1027,18,632,1.6799890995025635,2,290,170,330,240
359,990,18,1571,1.7805442810058594,2,270,110,220,170
821,990,18,694,1.4679679870605469,0,80,40,410,480
1633,990,18,508,1.506190299987793,1,430,330,30,370
1680,990,18,142,1.563255786895752,0,470,260,20,240
