id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
1689,1830,12,1207,2.0090367794036865,0,430,20,50,430
1163,1770,12,1011,2.0257630348205566,0,470,70,50,430
1341,1770,12,141,1.9827420711517334,0,440,40,20,400
870,1711,12,1406,2.006993055343628,0,430,110,30,470
1120,1711,12,703,2.070322036743164,0,480,30,100,420
151,1653,12,1754,2.032135248184204,0,440,80,30,430
1160,1653,12,970,2.025902032852173,0,400,50,70,470
176,1431,12,215,2.0433337688446045,0,470,80,80,400
1201,1431,12,1812,2.138828992843628,0,480,30,220,480
1202,1326,12,1812,1.9221439361572266,0,320,50,60,480
482,1225,12,1936,1.9115092754364014,0,360,80,60,460
933,1176,12,322,1.7774498462677002,0,330,60,30,430
1590,1128,12,349,1.9239518642425537,0,360,50,110,460
1264,1081,12,382,1.9746921062469482,0,350,40,140,470
555,1035,12,710,1.7125186920166016,0,470,310,20,190
1031,1035,12,955,1.703826904296875,0,280,70,30,460
1207,1035,12,1812,1.6789963245391846,0,470,370,20,240
1505,1035,12,1467,1.8862779140472412,0,350,60,110,450
1893,1035,12,1966,2.071331262588501,0,430,20,250,470
352,990,12,302,1.8041434288024902,0,330,100,70,460
550,990,12,710,1.7127387523651123,0,430,210,30,440
1855,990,12,1751,1.6644880771636963,0,330,130,40,470
261,946,12,563,1.7054352760314941,0,460,390,30,350
442,946,12,465,1.6972923278808594,0,460,220,30,110
1598,946,12,349,1.64378023147583,0,460,230,30,280
1759,946,12,984,1.6529858112335205,0,260,40,40,430
1975,946,12,1980,1.8424170017242432,0,430,50,120,360
159,903,12,1754,1.6848773956298828,0,450,350,30,270
918,903,12,1813,2.037808895111084,0,450,80,220,450
1034,903,12,955,1.7036941051483154,0,480,370,60,380
1090,903,12,1941,1.745849609375,0,280,50,80,460
1840,903,12,1358,1.870128870010376,0,430,40,140,360
1842,903,12,1751,1.8479280471801758,0,400,40,130,380
680,861,12,63,1.6872222423553467,0,450,230,40,240
1557,861,12,1943,1.7010042667388916,0,470,420,40,230
1592,861,12,349,1.6439754962921143,0,460,260,50,180
322,820,12,46,1.7025492191314697,0,460,100,60,90
341,820,12,302,1.6759181022644043,0,450,50,50,120
582,820,12,1282,2.0779812335968018,0,480,240,80,70
747,820,12,528,1.718487024307251,0,340,40,80,360
1289,820,12,1106,1.8509392738342285,0,410,30,140,340
1412,820,12,318,1.9904210567474365,0,440,280,30,100
1432,820,12,396,1.8209905624389648,0,430,370,30,200
112,780,12,1161,1.7335593700408936,0,470,100,80,290
499,780,12,1936,1.650796890258789,0,440,250,50,280
1017,780,12,849,1.6714458465576172,0,460,190,70,180
1220,780,12,1812,1.5767433643341064,0,420,450,30,390
1338,780,12,1649,1.7103526592254639,0,420,40,100,290
1660,780,12,869,1.6576621532440186,0,430,30,80,250
1704,780,12,1571,1.5739777088165283,0,430,350,40,330
58,741,12,1384,1.7573225498199463,0,480,100,100,160
