id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
1013,2778,18,1425,False,1.528022050857544,0,40,390,450,30
661,2628,18,222,False,1.5422887802124023,0,30,310,470,20
1054,2628,18,1425,False,1.5178899765014648,1,130,460,470,80
1365,2556,18,1535,False,1.4992237091064453,1,140,450,240,70
1608,2488,18,824,False,1.4925246238708496,0,30,440,430,110
1331,2485,18,1535,False,1.5054912567138672,2,30,330,130,280
384,2416,18,1030,False,1.558758020401001,0,20,310,450,30
100,2415,18,131,False,1.6001956462860107,1,30,420,370,70
163,2415,18,131,False,1.577366828918457,1,70,440,320,30
31,2346,18,131,False,1.5982725620269775,1,70,380,420,50
