id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
295,3741,6,1077,1.8034069538116455,2,470,480,340,360
678,3240,6,1266,1.773202896118164,1,440,480,100,390
1754,3160,6,1556,1.7119028568267822,2,430,460,110,150
1284,3003,6,1531,1.7381784915924072,1,390,440,20,40
1304,3003,6,1532,1.7350430488586426,2,470,420,100,100
1413,3003,6,1537,1.734154462814331,1,450,420,30,70
695,2850,6,1267,1.76487135887146,1,440,390,70,30
1595,2850,6,1548,1.7206275463104248,1,480,410,80,60
624,2775,6,1264,1.7635135650634766,1,420,380,40,20
705,2701,6,1268,1.7704238891601562,1,440,450,80,80
1893,2701,6,1605,1.6903092861175537,2,480,440,210,330
111,2628,6,1068,1.7940871715545654,2,390,390,170,280
355,2628,6,1080,1.7944369316101074,1,430,480,70,460
252,2556,6,1075,1.7948174476623535,1,390,450,40,90
682,2556,6,1267,1.7760109901428223,1,460,430,40,140
1066,2556,6,1356,1.73225736618042,1,410,400,70,30
722,2485,6,1269,1.7574965953826904,1,420,420,80,110
1811,2485,6,1559,1.6913409233093262,1,420,370,50,40
596,2415,6,1262,1.7495489120483398,3,350,480,310,160
200,2346,6,1072,1.767392635345459,2,390,420,270,310
519,2346,6,1198,1.7690656185150146,1,400,440,80,80
962,2346,6,1349,1.7284502983093262,2,460,340,360,340
1026,2346,6,1354,1.7403907775878906,1,440,410,90,80
1481,2346,6,1541,1.7286903858184814,3,480,390,360,210
694,2278,6,1267,1.74330472946167,1,290,480,50,480
712,2278,6,1268,1.738473892211914,2,470,310,300,210
1940,2278,6,1607,1.6677746772766113,1,480,460,240,30
478,2211,6,1196,1.7375750541687012,1,340,450,110,20
599,2211,6,1262,1.7409441471099854,2,420,440,410,290
947,2211,6,1347,1.715484380722046,1,440,340,90,30
1015,2211,6,1353,1.7512257099151611,1,480,380,60,140
1091,2211,6,1358,1.7509796619415283,1,430,420,20,340
1816,2145,6,1559,1.691145658493042,3,310,460,160,380
272,2080,6,1076,1.7833092212677002,1,470,470,180,120
1398,2080,6,1536,1.723459005355835,1,480,360,70,130
1653,2080,6,1551,1.6689956188201904,1,430,420,180,30
318,2016,6,1078,1.747002124786377,2,380,360,190,180
630,2016,6,1264,1.7257506847381592,1,440,350,120,40
631,2016,6,1264,1.7208583354949951,1,420,270,30,30
1324,2016,6,1533,1.7273716926574707,1,460,370,60,260
1777,2016,6,1557,1.6963326930999756,1,460,450,160,280
134,1953,6,1069,1.7751641273498535,1,420,350,60,260
331,1953,6,1079,1.7774913311004639,1,330,450,110,130
1159,1953,6,1522,1.6958892345428467,1,300,440,70,50
1414,1953,6,1537,1.7226994037628174,2,380,450,90,340
1740,1953,6,1555,1.6564111709594727,1,290,480,120,30
1876,1953,6,1602,1.6996803283691406,1,400,420,40,270
1924,1891,6,1607,1.6857020854949951,2,350,480,290,370
1250,1830,6,1529,1.7221043109893799,1,340,480,80,140
1387,1830,6,1536,1.7239632606506348,1,380,440,50,170
1590,1830,6,1548,1.7094721794128418,2,450,390,430,230
1908,1830,6,1606,1.6589608192443848,1,470,280,70,220
1,1770,6,1061,1.7539923191070557,1,430,320,110,50
172,1770,6,1071,1.7822284698486328,2,460,300,370,180
388,1770,6,1188,1.7064428329467773,1,380,400,170,20
536,1770,6,1199,1.7037265300750732,1,410,230,20,30
1431,1770,6,1538,1.7283811569213867,1,470,470,140,210
1538,1770,6,1544,1.6749687194824219,1,440,370,140,80
1579,1770,6,1547,1.7199311256408691,1,350,480,30,420
1650,1770,6,1551,1.6612639427185059,1,370,350,70,60
38,1711,6,1064,1.80143141746521,2,480,480,430,430
114,1711,6,1068,1.7395775318145752,1,480,190,40,50
517,1711,6,1198,1.7691712379455566,1,460,380,80,180
909,1711,6,1279,1.694615125656128,1,380,480,220,60
1231,1711,6,1528,1.6957244873046875,2,440,420,220,420
1765,1711,6,1557,1.648747444152832,2,360,360,340,280
23,1653,6,1064,1.731187105178833,1,270,370,30,40
88,1653,6,1067,1.710573434829712,1,430,340,200,20
414,1653,6,1189,1.6963615417480469,1,170,460,30,30
578,1653,6,1261,1.701639175415039,1,280,480,140,130
1186,1653,6,1524,1.7124907970428467,1,320,410,20,310
1427,1653,6,1538,1.699669599533081,1,440,460,190,210
36,1596,6,1064,1.7025504112243652,1,310,300,30,20
149,1596,6,1070,1.7876670360565186,2,470,430,250,430
451,1596,6,1195,1.7485597133636475,2,320,440,130,380
887,1596,6,1277,1.706735610961914,1,480,430,250,100
1110,1596,6,1359,1.6666958332061768,1,470,320,180,50
1596,1596,6,1548,1.6163241863250732,1,390,310,210,20
791,1540,6,1272,1.7123692035675049,1,340,370,50,110
1368,1540,6,1535,1.7027089595794678,1,320,420,30,160
1378,1540,6,1535,1.6925561428070068,2,390,410,390,380
1714,1540,6,1554,1.6799640655517578,1,410,400,110,150
69,1485,6,1066,1.7206525802612305,1,450,400,310,60
341,1485,6,1080,1.7918846607208252,1,480,410,80,270
445,1485,6,1195,1.725846290588379,2,320,440,240,440
752,1485,6,1270,1.6514756679534912,1,330,310,70,30
886,1485,6,1277,1.710587739944458,1,360,420,110,130
969,1485,6,1349,1.6667509078979492,1,310,310,20,60
1205,1485,6,1526,1.7115483283996582,1,380,380,50,170
1376,1485,6,1535,1.659348487854004,1,280,470,130,80
1440,1485,6,1538,1.7180185317993164,1,300,480,20,220
16,1431,6,1061,1.7532227039337158,1,390,450,200,280
34,1431,6,1064,1.7365307807922363,1,270,480,130,90
509,1431,6,1198,1.7132248878479004,1,470,380,220,320
680,1431,6,1266,1.65529465675354,2,340,380,260,290
1266,1431,6,1530,1.6653058528900146,2,440,450,360,280
1622,1431,6,1550,1.6050655841827393,1,370,330,130,180
435,1378,6,1193,1.776916265487671,1,430,410,70,250
571,1378,6,1261,1.6619937419891357,1,360,370,160,160
839,1378,6,1274,1.6242852210998535,1,220,400,80,250
