id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
1446,5050,3,1205,20.046162128448486,3,310,100,260,340
508,4929,3,797,20.114701747894287,3,70,30,280,470
1436,4371,3,394,20.046639919281006,2,460,130,250,20
315,3240,3,1606,20.124776601791382,1,160,90,380,410
1872,3240,3,950,1.9862451553344727,1,190,370,100,70
279,3081,3,1607,2.4124014377593994,1,30,160,480,170
513,3017,3,797,20.114450216293335,5,40,290,40,210
1452,3003,3,1205,20.045862913131714,2,340,410,180,140
1870,2926,3,950,1.9412996768951416,1,410,200,260,80
1441,2775,3,1205,20.046424627304077,1,480,190,100,380
30,2701,3,798,20.142080783843994,1,180,20,210,430
1451,2701,3,1205,20.0459086894989,1,420,70,230,350
1434,2628,3,394,20.046748399734497,2,480,120,440,130
1869,2628,3,950,1.8961362838745117,2,220,430,180,360
707,2424,3,1616,2.254451036453247,2,40,310,390,470
1430,2415,3,394,20.046962022781372,1,320,290,240,70
1558,2415,3,1918,20.040047883987427,0,20,440,440,150
265,2367,3,1607,2.5335469245910645,1,70,440,400,180
985,2302,3,795,20.07015633583069,2,140,160,280,420
38,2232,3,798,2.184433937072754,3,200,20,340,330
1286,2206,3,1613,20.05412268638611,3,40,300,200,110
420,2145,3,420,1.9220309257507324,1,70,120,70,420
515,2121,3,797,2.2188191413879395,2,30,420,110,160
23,2016,3,798,20.142438411712646,1,160,150,350,450
717,1998,3,1616,1.9487700462341309,2,20,320,90,230
512,1953,3,797,20.114500761032104,1,160,80,370,450
310,1896,3,1606,20.125016450881958,1,100,420,310,120
1443,1540,3,1205,20.046295166015625,1,340,340,40,260
1291,1506,3,1613,1.8475286960601807,1,60,320,330,260
1876,1485,3,950,20.022402048110962,1,420,290,100,210
309,1446,3,1606,20.125071048736572,1,50,320,390,170
73,1431,3,1604,1.6912946701049805,1,240,110,410,470
273,1431,3,1607,20.12681007385254,1,80,320,370,370
318,1431,3,1606,1.6773993968963623,2,50,230,150,340
1439,1431,3,394,20.046498775482178,1,330,180,80,60
262,1410,3,1607,20.127357482910156,3,200,430,250,70
316,1378,3,1606,1.9269003868103027,1,60,60,340,180
702,1378,3,1616,1.6733019351959229,1,100,260,440,440
301,1348,3,1606,2.3312132358551025,2,120,290,210,420
982,1338,3,795,20.070300102233887,3,70,70,130,290
1288,1330,3,1613,20.05402946472168,2,50,240,100,380
17,1326,3,1005,1.823878526687622,2,90,200,370,250
516,1275,3,797,1.85744047164917,1,20,150,350,320
1284,1226,3,1613,20.05421781539917,2,50,170,170,160
1486,1225,3,1309,1.5154602527618408,1,40,350,40,430
69,1176,3,1604,20.1401629447937,1,70,250,320,320
271,1176,3,1607,20.126898527145386,2,120,80,130,40
1111,1176,3,829,1.5665051937103271,1,390,400,460,400
308,1171,3,1606,20.125118494033813,2,210,190,250,320
992,1161,3,795,20.06980848312378,2,50,470,50,290
78,1137,3,1604,20.139693021774292,1,40,390,370,160
1220,1128,3,249,1.7443933486938477,2,100,60,100,230
320,1120,3,1606,20.124471426010132,1,60,470,380,230
65,1091,3,1604,2.5457918643951416,1,180,480,430,140
820,1087,3,1340,1.6347312927246094,0,120,130,470,280
807,1082,3,1340,1.8842012882232666,0,140,100,410,320
813,1081,3,1340,1.5624604225158691,0,170,40,470,210
1862,1081,3,950,20.02311396598816,2,330,450,80,370
268,1056,3,1607,2.458153247833252,1,70,260,370,90
369,1035,3,876,1.5286376476287842,0,20,80,470,430
77,1024,3,1604,20.139771938323975,2,70,350,170,230
984,1006,3,795,1.8911371231079102,2,250,450,300,270
1449,990,3,1205,20.04600715637207,1,320,20,190,220
990,967,3,795,20.069899082183838,2,190,260,430,130
502,946,3,797,2.1139018535614014,1,100,100,450,140
1225,946,3,196,1.4185044765472412,0,420,450,290,20
1292,946,3,1613,1.9076805114746094,1,400,390,480,130
1381,946,3,671,20.049415111541748,0,310,480,350,50
1861,903,3,950,1.5527851581573486,0,310,30,290,440
109,861,3,96,1.4902989864349365,0,50,30,460,340
258,861,3,1289,20.127536296844482,0,420,20,470,470
344,861,3,341,1.438948154449463,0,120,430,380,20
1505,861,3,1416,1.4594292640686035,0,480,120,70,90
280,823,3,1607,20.126466274261475,1,90,200,410,180
874,821,3,1954,2.031639814376831,0,470,370,70,350
68,820,3,1604,1.5450069904327393,1,340,160,480,330
902,820,3,339,1.3757226467132568,0,470,420,130,20
1143,820,3,1284,20.061768293380737,1,440,60,440,390
1208,820,3,249,20.05844521522522,1,460,100,460,450
1863,820,3,950,20.023066520690918,1,210,70,200,40
63,813,3,1604,20.140448093414307,2,50,60,180,160
302,780,3,1606,20.12540054321289,3,70,320,110,120
473,780,3,1066,20.116440534591675,0,110,470,70,80
533,780,3,1484,1.4869494438171387,0,20,460,290,70
757,780,3,833,1.4914920330047607,0,480,460,90,230
1015,780,3,38,1.4626595973968506,0,30,60,420,450
1154,780,3,1284,20.06119155883789,0,340,450,360,60
1206,780,3,249,1.3627078533172607,0,260,420,110,30
1435,780,3,394,20.04668951034546,0,20,450,270,50
1442,780,3,1205,20.046348333358765,1,180,330,20,120
1557,780,3,1918,1.3865387439727783,0,350,440,20,50
1623,780,3,340,1.4016425609588623,0,270,450,190,60
999,777,3,795,20.0694580078125,1,370,400,430,20
1073,751,3,1156,20.06535053253174,0,480,70,100,120
428,741,3,1880,1.4732334613800049,0,90,450,270,70
1306,741,3,1910,1.3186321258544922,0,240,400,120,20
1422,741,3,394,20.047402143478394,1,250,30,100,170
1423,741,3,394,20.047349452972412,2,200,240,190,350
1492,741,3,1309,1.3310706615447998,0,410,410,80,30
1569,741,3,864,1.6027088165283203,0,110,460,140,50
