id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
262,2556,17,474,2.0087742805480957,1,430,480,160,480
213,1953,17,1476,1.8220465183258057,1,360,440,150,390
434,1953,17,1365,1.825852394104004,1,350,430,120,400
974,1953,17,377,2.080697774887085,1,480,470,140,420
33,1653,17,100,1.7691359519958496,1,380,340,110,300
1265,1540,17,1235,1.7514498233795166,1,460,330,150,280
1400,1540,17,637,2.0601987838745117,1,480,470,140,460
1673,1540,17,99,1.7326364517211914,1,400,290,50,240
1665,1485,17,99,1.9786856174468994,1,480,320,30,310
1036,1431,17,689,1.8955297470092773,1,320,460,70,450
436,1326,17,1365,1.6456477642059326,1,290,300,50,250
1266,1176,17,1235,1.9402174949645996,1,460,450,170,430
1894,1102,17,742,20.02536940574646,1,480,200,60,160
93,1081,17,397,2.146784782409668,1,460,400,40,360
1152,1081,17,1751,1.5157582759857178,0,480,40,20,90
1217,1081,17,88,1.6186890602111816,2,430,160,290,110
1259,1081,17,683,1.86818265914917,1,410,350,60,330
1571,1081,17,1680,1.629936695098877,1,470,140,50,130
686,1060,17,780,2.1342709064483643,1,260,480,300,120
493,1035,17,65,20.105825901031494,1,470,220,290,200
1522,1035,17,1318,1.4812376499176025,0,30,470,370,20
712,990,17,843,1.538747787475586,0,480,90,40,110
835,990,17,512,20.08452606201172,0,470,430,100,250
1039,990,17,689,1.4884297847747803,0,50,460,140,20
1067,990,17,945,1.6695270538330078,1,210,390,20,380
1182,990,17,1868,1.4814226627349854,0,30,460,340,20
1837,990,17,1844,1.44881272315979,0,30,460,450,20
43,946,17,1916,20.13500189781189,1,470,280,200,280
571,946,17,998,1.511960506439209,0,460,70,30,110
619,946,17,1443,1.8006844520568848,1,440,240,30,220
948,946,17,24,1.510038137435913,0,130,470,430,40
1088,946,17,1121,1.5495986938476562,1,460,90,50,70
1418,946,17,686,1.5026452541351318,0,40,480,210,50
1579,946,17,1680,1.5717754364013672,1,450,110,30,100
1591,946,17,1853,1.4440789222717285,0,160,450,470,20
834,903,17,512,1.531339406967163,0,190,480,470,60
1050,903,17,882,1.4525749683380127,0,150,440,420,20
1827,903,17,1844,1.4492528438568115,0,460,240,40,280
1086,865,17,1121,1.8766660690307617,2,370,330,150,310
102,861,17,1384,1.5724186897277832,0,60,480,330,70
328,861,17,1849,20.115431308746338,0,460,400,40,340
694,861,17,780,1.4890995025634766,0,100,450,350,40
908,861,17,1570,20.080732822418213,0,460,370,20,330
957,861,17,24,1.4575138092041016,1,390,80,30,30
1287,861,17,1339,1.6854262351989746,1,260,370,30,370
1671,861,17,99,1.6249065399169922,1,370,330,130,320
1851,861,17,1919,1.798435926437378,1,410,340,70,330
1135,830,17,1678,20.06779670715332,2,330,450,320,430
1749,826,17,786,1.8592116832733154,2,230,380,300,180
258,820,17,380,1.473926305770874,0,320,430,440,30
514,820,17,276,1.5475656986236572,0,300,480,430,80
1108,820,17,1238,1.5780279636383057,0,460,90,60,160
1431,820,17,845,1.5019009113311768,0,180,480,250,80
1804,820,17,1766,1.415766954421997,0,440,360,40,410
1902,820,17,794,20.0249764919281,0,450,330,50,220
1971,820,17,821,1.4074645042419434,0,140,440,400,40
97,795,17,397,1.681185245513916,1,60,460,110,420
1745,780,17,786,20.03317618370056,0,450,470,50,350
1842,780,17,1919,1.4486258029937744,0,380,460,460,70
1955,780,17,803,1.4257538318634033,0,180,450,440,60
123,741,17,243,1.7366204261779785,0,470,160,90,210
141,741,17,789,1.4607598781585693,0,420,280,40,310
147,741,17,789,1.5663650035858154,0,60,480,250,100
165,741,17,1673,1.597090721130371,1,430,190,120,120
185,741,17,35,1.4187953472137451,0,80,400,310,20
438,741,17,1365,1.8659377098083496,0,430,270,50,340
468,741,17,961,1.4994144439697266,0,430,200,50,210
624,741,17,108,1.5418715476989746,0,240,480,330,100
900,741,17,1567,1.6051983833312988,0,450,150,30,260
953,741,17,24,1.8618950843811035,1,370,350,30,310
979,741,17,377,20.076842546463013,0,420,380,40,270
983,741,17,418,1.3796024322509766,0,70,400,150,20
1450,741,17,919,1.375941514968872,0,410,80,30,120
1892,741,17,742,1.462827205657959,0,130,470,420,90
981,703,17,418,1.4181735515594482,0,260,420,400,50
1066,703,17,945,1.729506254196167,0,460,210,90,270
1336,703,17,1645,2.0882022380828857,0,480,400,110,440
1629,703,17,1918,20.040184497833252,0,380,300,30,210
1758,703,17,786,1.7283947467803955,1,420,300,80,270
1799,703,17,1747,20.030181884765625,0,310,480,340,30
1295,682,17,1339,1.6850268840789795,2,360,340,410,20
508,681,17,276,20.104979991912842,0,360,480,420,100
562,681,17,998,20.101661682128906,0,390,450,450,70
142,666,17,789,20.12581706047058,0,450,460,50,390
237,666,17,1856,1.7265560626983643,0,460,180,100,230
259,666,17,380,1.8536045551300049,1,290,470,90,440
460,666,17,959,20.10755753517151,0,430,360,90,120
603,666,17,1443,1.9528744220733643,0,430,340,70,410
606,666,17,1443,1.5271315574645996,0,130,470,470,110
632,666,17,108,1.490832805633545,1,390,100,40,100
755,666,17,1391,1.566030740737915,1,340,380,220,350
866,666,17,1541,1.4045822620391846,0,410,30,50,60
