id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
1594,4005,2,1821,20.03505039215088,1,450,480,40,20
1611,2278,2,1279,20.03421950340271,1,180,70,430,380
425,2266,2,863,2.3391809463500977,2,330,30,60,140
64,2176,2,874,2.3292272090911865,2,350,150,220,230
1329,2016,2,688,20.049744844436646,0,160,110,470,450
1282,1959,2,98,20.052180767059326,1,100,330,310,100
884,1953,2,376,1.631563425064087,0,210,80,450,470
755,1891,2,1901,20.080557107925415,1,370,60,370,390
1110,1842,2,845,1.754045009613037,0,130,400,460,50
31,1830,2,878,1.9562504291534424,1,440,50,70,160
422,1830,2,863,1.8681695461273193,1,460,130,50,270
1328,1770,2,688,20.049790143966675,0,30,430,350,470
509,1719,2,875,2.1699955463409424,1,150,170,30,440
300,1711,2,1965,1.6216018199920654,0,420,110,70,480
7,1653,2,1975,1.6567046642303467,0,460,20,80,350
246,1653,2,1280,2.0149588584899902,0,50,100,390,340
229,1596,2,1961,1.694626808166504,0,390,30,130,470
478,1596,2,869,1.549651861190796,2,260,110,230,110
1106,1497,2,845,1.9860832691192627,0,90,190,420,80
384,1485,2,1966,1.6019506454467773,0,470,90,100,400
1803,1485,2,1826,20.023573875427246,1,70,440,20,20
34,1431,2,878,1.9313633441925049,1,240,330,90,480
89,1431,2,865,2.008970260620117,1,360,170,190,280
1291,1431,2,98,1.708263635635376,1,80,390,400,180
776,1371,2,1079,20.079485177993774,0,20,430,400,70
158,1335,2,877,2.210479736328125,2,480,190,70,190
1590,1326,2,1821,20.035239934921265,1,360,350,110,90
1347,1302,2,1080,20.04885220527649,0,70,140,460,50
919,1275,2,867,1.6477749347686768,1,400,260,100,400
1489,1240,2,31,20.040510177612305,1,180,50,290,210
1322,1176,2,688,20.050081253051758,0,70,170,270,470
1587,1176,2,1821,20.035430192947388,1,300,400,80,220
1944,1176,2,369,1.3810527324676514,1,50,130,200,460
556,1136,2,871,2.1229004859924316,1,290,40,260,320
451,1128,2,1976,1.440629005432129,0,460,230,40,410
507,1128,2,875,1.50925612449646,1,440,290,80,400
559,1128,2,871,1.7954025268554688,1,410,110,60,230
845,1128,2,868,1.5448579788208008,1,250,100,40,150
1263,1128,2,1962,1.401968002319336,0,280,70,40,440
1815,1128,2,1826,1.7033107280731201,1,400,400,250,130
102,1081,2,876,1.6111645698547363,1,480,280,80,340
1793,1081,2,1441,1.3386123180389404,0,310,480,120,20
1414,1060,2,1077,20.045390844345093,0,30,170,380,90
216,1035,2,866,1.3999607563018799,0,310,30,390,480
746,1035,2,1901,1.374854326248169,0,160,470,420,20
1484,1035,2,31,20.040746212005615,2,70,60,310,260
1827,1035,2,1979,1.3371951580047607,0,480,70,30,90
1776,1003,2,856,2.030249834060669,0,120,120,390,210
1290,990,2,98,1.400752305984497,2,80,140,410,100
66,981,2,874,2.0433545112609863,1,230,80,190,440
173,946,2,1575,1.4157090187072754,0,270,20,30,450
934,946,2,601,20.07094097137451,0,310,380,60,190
1283,946,2,98,1.3214921951293945,0,440,450,230,20
1485,946,2,31,1.3784403800964355,1,280,180,390,460
1494,946,2,31,20.040270566940308,1,30,50,230,280
410,903,2,1917,20.0989031791687,0,160,30,230,450
427,903,2,863,1.5654380321502686,1,180,360,30,480
501,903,2,875,1.386643886566162,0,190,30,370,450
541,903,2,871,1.3558287620544434,1,240,240,50,270
910,871,2,867,1.7616984844207764,2,200,220,180,430
1298,862,2,98,20.05137848854065,0,120,50,330,330
1070,861,2,1867,1.373445749282837,0,20,110,430,170
1237,861,2,873,1.3089981079101562,0,60,60,270,470
1983,861,2,188,1.2558300495147705,0,430,370,20,390
1233,856,2,873,1.8787147998809814,1,310,160,290,430
1349,856,2,1080,20.048744678497314,0,30,480,200,100
914,852,2,867,2.3386030197143555,3,440,140,210,150
1111,832,2,845,1.5195972919464111,0,170,380,390,120
202,820,2,866,1.3863482475280762,0,180,40,330,440
372,820,2,1918,20.10087561607361,0,340,80,470,480
419,820,2,1917,1.3764138221740723,0,240,40,150,440
613,820,2,1906,1.366520643234253,0,410,40,240,440
750,820,2,1901,1.3606979846954346,0,200,460,470,60
888,820,2,376,1.3680038452148438,0,360,30,100,430
1536,820,2,563,1.3375542163848877,0,310,30,30,430
1118,792,2,845,1.5860447883605957,0,180,400,330,80
348,780,2,391,1.3295207023620605,0,450,70,20,460
396,780,2,1966,1.3107795715332031,0,420,390,30,100
499,780,2,1970,1.4003028869628906,0,480,460,90,350
503,780,2,875,2.0027806758880615,1,190,60,130,160
666,780,2,795,20.08494234085083,0,20,50,90,450
925,780,2,601,1.2700254917144775,0,360,220,20,440
1315,780,2,135,1.4476046562194824,0,170,50,350,440
1600,780,2,1821,1.2387642860412598,1,340,150,80,20
526,756,2,398,1.4493484497070312,0,480,40,390,420
193,741,2,1578,1.3364243507385254,0,100,70,20,450
220,741,2,866,1.3854758739471436,0,450,40,470,420
351,741,2,391,1.3129849433898926,0,270,80,160,460
792,741,2,606,1.424609661102295,0,450,20,130,260
1168,741,2,1263,1.517026662826538,1,90,20,270,220
1225,741,2,873,1.7081220149993896,1,390,90,90,150
1277,741,2,1962,1.253678560256958,0,410,260,30,50
1702,741,2,751,20.028913736343384,0,420,110,30,150
1740,741,2,754,20.026849031448364,1,240,290,80,290
1350,706,2,1080,20.048656225204468,0,60,360,350,120
183,703,2,1578,1.3872325420379639,0,440,40,140,410
542,703,2,871,1.3558144569396973,0,390,50,470,420
921,703,2,601,20.071613550186157,0,470,470,210,350
1607,703,2,1279,1.306227207183838,0,50,450,420,90
1791,703,2,1441,1.363870620727539,0,480,20,110,320
