id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
1210,2278,18,1797,False,2.076181650161743,1,390,40,160,330
1240,2278,18,1943,False,20.05923891067505,1,410,80,330,440
1442,2278,18,1631,False,2.11623215675354,2,400,20,270,450
1710,2278,18,1675,False,2.0636188983917236,2,450,140,260,330
202,2211,18,160,False,2.289632797241211,2,310,30,100,400
626,2211,18,212,False,2.253194808959961,1,470,130,30,190
935,2211,18,553,False,2.090526580810547,2,480,110,230,230
1027,2211,18,1674,False,2.1368813514709473,1,390,90,70,400
1778,2211,18,295,False,2.047990560531616,2,380,40,380,300
634,2145,18,212,False,2.1362462043762207,1,430,170,350,20
1085,2145,18,85,False,2.12306809425354,2,430,190,120,450
1131,2145,18,1008,False,2.094595432281494,2,330,80,310,360
1176,2145,18,1406,False,20.063101530075073,2,390,90,360,370
1675,2145,18,1155,False,2.0405397415161133,1,340,20,140,80
451,2080,18,1102,False,2.2012197971343994,1,400,50,100,330
949,2080,18,1353,False,2.064338445663452,1,430,80,180,280
1051,2080,18,1610,False,2.111818552017212,1,460,120,130,400
1325,2080,18,1590,False,2.0580692291259766,1,300,20,100,460
1439,2080,18,919,False,20.048131227493286,1,350,140,210,460
538,2016,18,1747,False,20.108108043670654,1,450,40,320,310
622,2016,18,212,False,20.097962141036987,1,460,130,150,390
899,2016,18,298,False,2.092197895050049,1,430,170,70,440
1861,2016,18,1271,False,20.024365663528442,1,470,370,170,430
1881,2016,18,1613,False,20.023334741592407,1,370,160,260,380
1909,2016,18,1787,False,2.247983455657959,1,450,20,60,90
122,1953,18,1200,False,2.2211315631866455,2,450,130,250,170
329,1953,18,1678,False,2.1076180934906006,1,330,50,110,450
590,1953,18,1840,False,2.0869252681732178,1,430,120,140,240
662,1953,18,1799,False,2.170254707336426,1,140,250,70,40
1445,1953,18,1631,False,20.047780513763428,1,460,140,70,370
87,1891,18,1359,False,2.2011399269104004,2,170,20,90,450
1332,1891,18,1590,False,2.0297539234161377,1,310,50,100,450
1592,1891,18,1937,False,2.1196789741516113,2,340,40,340,140
1737,1891,18,1499,False,20.030999183654785,4,290,220,190,340
1897,1891,18,1613,False,2.0678279399871826,1,480,130,140,400
148,1830,18,1465,False,2.04948091506958,2,350,160,260,280
226,1830,18,1424,False,2.1710968017578125,1,470,210,50,390
228,1830,18,1424,False,2.2650208473205566,3,410,80,220,230
780,1830,18,1857,False,2.029188394546509,1,340,90,110,130
1988,1830,18,590,False,2.049659490585327,1,390,80,110,400
1053,1770,18,1610,False,2.0589852333068848,1,250,40,40,390
1241,1770,18,808,False,20.059186935424805,1,340,20,270,450
1242,1770,18,808,False,2.088088035583496,1,440,120,120,310
1258,1770,18,808,False,1.989232063293457,1,430,90,210,430
1260,1770,18,808,False,1.9606966972351074,1,390,90,190,480
515,1711,18,1738,False,2.081373691558838,1,230,310,140,120
770,1711,18,1857,False,2.0004992485046387,2,400,200,200,220
915,1711,18,459,False,1.9772083759307861,1,380,210,60,460
1236,1711,18,1943,False,2.074908971786499,1,430,190,50,390
293,1653,18,1697,False,20.128814935684204,2,460,150,400,190
786,1653,18,773,False,2.1260130405426025,2,240,170,150,50
1671,1653,18,1155,False,1.9695367813110352,2,370,100,310,440
55,1596,18,1677,False,2.106088161468506,1,200,20,40,190
357,1596,18,386,False,2.196079969406128,1,410,90,80,260
682,1596,18,1960,False,1.974837303161621,1,410,230,80,280
1076,1596,18,1694,False,1.9703407287597656,1,390,50,230,130
26,1540,18,269,False,2.24215030670166,3,420,140,380,80
162,1540,18,1555,False,2.119659423828125,2,310,90,220,230
278,1540,18,184,False,1.9774014949798584,2,440,230,260,270
430,1540,18,998,False,2.1783502101898193,1,390,40,120,320
