id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
1147,1128,14,409,False,1.4495227336883545,1,310,430,310,160
1402,1081,14,837,False,20.051973342895508,1,300,430,300,20
654,990,14,1418,False,1.3764050006866455,0,140,460,240,20
508,946,14,443,False,1.3973758220672607,0,20,470,250,40
129,903,14,1787,False,1.3898513317108154,0,110,440,430,20
560,903,14,443,False,1.3762240409851074,0,40,450,280,30
917,903,14,1505,False,1.3345043659210205,0,20,460,420,40
1326,861,14,595,False,1.3122868537902832,0,210,460,400,50
554,820,14,443,False,20.13212823867798,0,370,440,400,40
1493,820,14,837,False,1.3036706447601318,0,160,460,470,60
