id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
1481,3417,6,1593,4.83782172203064,1,120,480,370,20
707,2485,6,99,3.2199742794036865,1,130,440,370,190
290,2377,6,408,3.9629743099212646,1,110,420,370,100
1555,2211,6,148,3.2209017276763916,1,240,200,470,60
1061,2143,6,1662,20.111801385879517,1,180,390,440,30
1677,2080,6,1098,20.079951524734497,1,50,470,290,140
1984,2080,6,1183,20.036474227905273,1,30,450,260,220
1039,1953,6,749,20.113364219665527,2,160,320,220,320
1251,1891,6,25,20.10214591026306,0,130,450,330,30
287,1770,6,408,20.15536880493164,0,230,470,410,40
398,1770,6,611,20.149309396743774,1,30,480,290,320
1031,1770,6,749,20.11376428604126,1,80,330,300,50
1929,1711,6,893,20.066131114959717,1,150,460,390,450
1999,1711,6,1183,20.035706281661987,1,120,370,370,110
643,1596,6,1081,20.1346218585968,0,50,470,230,70
1733,1596,6,1501,20.07673478126526,0,240,480,450,120
1815,1540,6,10,20.072401523590088,0,160,470,300,30
516,1431,6,907,20.141465663909912,0,260,450,460,110
1580,1431,6,243,20.084758520126343,0,230,370,430,30
930,1378,6,1385,20.118820190429688,0,90,440,250,60
934,1326,6,1385,20.11863946914673,0,340,480,430,20
1346,1326,6,1466,20.09687829017639,0,190,480,320,70
806,1296,6,875,20.126055240631104,0,40,390,410,30
1213,1275,6,1942,20.104286670684814,0,200,320,420,30
209,1225,6,357,2.444120407104492,1,90,470,320,320
466,1225,6,156,20.14403200149536,0,80,360,280,60
1062,1225,6,1662,20.111757040023804,1,140,400,380,220
1336,1198,6,1340,20.097321271896362,0,180,440,460,40
143,1176,6,1708,20.166550636291504,0,200,420,400,130
434,1176,6,1763,20.146225690841675,0,20,420,150,40
729,1176,6,416,20.13013982772827,0,190,410,370,90
1605,1176,6,776,20.083491325378418,1,160,300,400,100
1982,1176,6,1183,20.036575078964233,0,200,480,350,130
510,1162,6,907,20.141758680343628,0,90,470,420,110
1595,1126,6,723,20.083964347839355,0,50,400,430,90
1688,1109,6,1099,20.0794038772583,0,30,480,320,110
1613,1096,6,776,20.0830717086792,0,40,340,480,110
1951,1095,6,1018,20.0645010471344,0,100,370,480,70
343,1091,6,1984,20.15260601043701,0,30,430,360,90
309,1081,6,1368,20.154308319091797,0,160,330,370,70
1536,1081,6,1997,20.08699607849121,0,150,460,270,90
1788,1081,6,1982,20.07393980026245,0,330,420,430,20
39,1056,6,475,20.17192506790161,0,50,380,480,150
26,1035,6,475,20.172570943832397,0,90,300,290,40
342,1035,6,1984,20.15265679359436,0,20,400,210,130
947,1035,6,1755,20.118013858795166,0,110,480,240,130
1025,1035,6,749,2.2121968269348145,0,410,20,240,480
1928,1035,6,893,20.066187381744385,0,140,450,350,200
1954,1035,6,1018,20.064343690872192,0,410,470,470,30
42,993,6,917,20.171742916107178,0,90,440,430,140
1138,990,6,1057,2.0738131999969482,0,430,40,210,480
1188,990,6,1770,20.105517864227295,0,90,480,250,180
294,970,6,408,20.155044317245483,0,30,440,460,250
10,946,6,4,20.176026105880737,0,160,330,380,110
935,946,6,1385,2.3153209686279297,0,210,30,80,470
1299,946,6,950,2.067481279373169,0,290,40,280,470
1645,946,6,833,20.081504344940186,0,60,410,240,140
17,939,6,4,20.175652265548706,0,90,360,370,30
109,916,6,64,20.168259620666504,0,20,410,450,250
980,912,6,1849,20.116332530975342,0,50,340,470,160
167,903,6,385,2.6829769611358643,0,300,20,270,450
