id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
380,1081,3,628,False,1.422008752822876,0,90,480,390,20
1434,1081,3,701,False,20.048198461532593,0,160,480,20,20
729,990,3,1965,False,20.08596706390381,0,460,460,300,20
720,946,3,1965,False,20.08645272254944,0,350,470,160,40
741,946,3,1965,False,1.384458303451538,0,370,480,70,50
1552,946,3,701,False,1.3100814819335938,0,130,450,100,20
1892,946,3,1972,False,1.2931993007659912,0,170,450,430,20
160,903,3,1846,False,1.3980395793914795,0,100,450,280,30
340,903,3,628,False,1.3767673969268799,0,170,440,190,20
350,903,3,628,False,20.126521110534668,0,240,480,40,60
