id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
953,154,15,287,2.5610897541046143,5,242,114,240,176
1483,77,15,549,1.8363285064697266,5,205,153,172,156
476,90,15,119,2.222356081008911,4,433,373,424,229
1404,1171,15,529,20.035922288894653,4,373,293,320,427
1413,94,15,529,1.9381918907165527,4,312,435,265,288
44,93,15,631,2.108515739440918,3,198,179,182,406
68,130,15,650,2.585399866104126,3,391,103,351,461
400,1180,15,73,20.105437755584717,3,442,61,382,175
572,32,15,159,1.4757206439971924,3,359,223,339,83
846,78,15,259,1.8127613067626953,3,319,139,237,221
1252,96,15,409,2.132063865661621,3,305,357,183,431
1317,128,15,451,2.5055580139160156,3,292,284,195,228
1362,70,15,523,1.7679615020751953,3,244,190,191,250
1603,1161,15,572,20.02673077583313,3,342,304,312,152
1612,79,15,572,1.876579761505127,3,333,91,243,469
2,88,15,218,2.1299004554748535,2,382,433,312,119
3,1187,15,218,20.129584074020386,2,372,312,360,130
5,73,15,218,1.8634884357452393,2,294,409,213,186
50,27,15,631,1.4203381538391113,2,111,361,106,196
97,47,15,811,1.6540305614471436,2,109,405,72,408
161,24,15,1478,1.1780664920806885,2,197,310,130,381
183,47,15,1566,1.7435617446899414,2,355,239,331,394
193,60,15,1566,1.792443037033081,2,362,251,328,190
195,40,15,1566,1.3420777320861816,2,109,139,70,327
203,66,15,5,1.9682176113128662,2,299,321,230,423
303,75,15,33,2.2545342445373535,2,465,423,336,407
368,56,15,70,1.6103613376617432,2,377,325,368,92
370,19,15,70,0.8514649868011475,2,306,88,309,161
414,66,15,86,1.9681782722473145,2,219,338,122,170
446,15,15,100,0.9567549228668213,2,406,146,385,134
474,87,15,119,1.921191692352295,2,277,415,219,108
511,47,15,125,1.5021870136260986,2,94,213,85,278
546,84,15,154,2.2107717990875244,2,401,275,285,283
669,1153,15,188,20.093026161193848,2,194,20,180,215
672,58,15,188,1.5869715213775635,2,389,56,395,357
677,77,15,188,1.9394078254699707,2,223,47,185,370
743,45,15,216,1.6056714057922363,2,159,22,155,324
780,59,15,226,1.8891913890838623,2,278,346,162,352
786,104,15,230,2.2088303565979004,2,420,271,340,100
802,44,15,231,1.513143539428711,2,240,59,169,177
805,1157,15,231,20.086566925048828,2,164,343,46,262
819,73,15,231,1.775810718536377,2,353,466,313,79
844,70,15,259,1.7058799266815186,2,351,191,329,413
882,1160,15,269,20.083143711090088,2,180,315,157,39
918,58,15,271,1.682706594467163,2,261,33,165,413
930,35,15,272,1.619744062423706,2,386,436,351,280
956,1170,15,287,20.07984733581543,2,347,219,326,102
957,1151,15,287,20.079785346984863,2,287,354,286,449
960,45,15,287,1.3678290843963623,2,202,137,186,230
994,34,15,302,1.48183012008667,2,301,246,262,259
1008,68,15,320,1.8427844047546387,2,235,284,187,205
1021,1149,15,327,20.076154470443726,2,357,411,246,357
1039,77,15,327,1.8598270416259766,2,192,326,107,354
1050,38,15,329,1.5258376598358154,2,427,299,383,132
1055,56,15,329,1.9407665729522705,2,139,298,142,397
1073,1171,15,339,20.073872327804565,2,384,349,336,136
1084,1168,15,342,20.073365926742554,2,325,456,247,176
1191,25,15,384,1.3168518543243408,2,347,149,344,153
1209,94,15,403,2.1924238204956055,2,292,67,164,447
1240,64,15,407,1.695666790008545,2,210,476,172,265
1247,49,15,409,1.7149736881256104,2,78,344,57,474
1254,45,15,409,1.5720806121826172,2,235,290,227,86
1285,64,15,441,1.6233737468719482,2,35,338,26,53
1289,65,15,441,1.8538930416107178,2,296,139,234,302
1305,83,15,451,2.045236110687256,2,400,232,277,299
1310,36,15,451,1.4809012413024902,2,163,303,93,223
1357,84,15,511,2.1110661029815674,2,270,405,160,240
1433,100,15,536,1.9195146560668945,2,438,449,411,65
1462,58,15,545,1.6263055801391602,2,144,318,142,382
1464,1167,15,545,20.032862186431885,2,388,333,308,280
1505,44,15,550,1.7237846851348877,2,157,440,151,264
1506,49,15,550,1.540137529373169,2,144,473,101,249
1511,70,15,550,1.6846983432769775,2,338,307,271,120
1517,1140,15,550,20.030532836914062,2,114,341,64,269
1560,50,15,559,1.6628971099853516,2,331,389,199,444
1577,62,15,560,1.9743647575378418,2,268,408,167,326
1618,1156,15,572,20.026073694229126,2,320,53,282,243
1680,45,15,585,1.5108027458190918,2,236,421,215,353
1693,66,15,588,1.744377613067627,2,177,360,165,22
1703,87,15,593,1.827148199081421,2,263,132,236,321
1721,29,15,611,1.1754493713378906,2,131,283,48,333
1729,20,15,611,1.3694472312927246,2,388,242,364,220
1861,1160,15,637,20.015082597732544,2,449,300,340,369
1862,58,15,637,1.579045295715332,2,156,206,155,32
1888,57,15,639,1.9864346981048584,2,363,270,256,288
1891,1156,15,639,20.013314247131348,2,161,250,161,283
1920,1153,15,646,20.01210927963257,2,357,465,272,184
1955,45,15,660,1.407996416091919,2,149,276,111,336
1976,49,15,665,1.4304924011230469,2,253,131,197,124
1,34,15,218,1.41237473487854,1,327,90,256,193
4,1142,15,218,20.129535675048828,1,104,365,83,213
9,80,15,218,1.8818747997283936,1,364,32,283,432
10,14,15,218,1.052708625793457,1,314,425,258,408
19,49,15,218,1.597156286239624,1,136,322,55,230
20,37,15,218,1.3221335411071777,1,385,192,266,446
29,1144,15,428,20.12568998336792,1,316,454,261,412
51,40,15,631,1.3660576343536377,1,147,43,150,394
62,36,15,650,1.446411371231079,1,214,74,161,121
64,1134,15,650,20.124093532562256,1,139,213,86,174
72,1145,15,650,20.12377142906189,1,383,426,334,367
