id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
1800,2850,9,694,False,1.7097411155700684,1,410,80,20,340
739,2485,9,1139,False,1.7691915035247803,1,450,130,90,470
24,2346,9,1616,False,1.8480064868927002,1,160,30,110,480
983,2281,9,1606,False,20.063637018203735,3,430,120,150,260
500,2278,9,695,False,1.8041155338287354,1,480,140,20,350
1927,2229,9,681,False,20.012293815612793,1,70,90,300,380
948,2145,9,361,False,1.738539457321167,1,390,370,20,370
602,2097,9,471,False,1.8052639961242676,0,400,470,70,60
554,2082,9,1566,False,1.775784969329834,0,440,390,30,60
945,1970,9,361,False,1.7492380142211914,0,340,460,50,30
477,1965,9,521,False,1.8007981777191162,0,370,440,50,40
1663,1965,9,385,False,1.725635051727295,0,400,450,50,80
1115,1953,9,1128,False,1.755035161972046,1,330,30,270,440
1925,1919,9,681,False,1.7288873195648193,1,140,30,210,440
1223,1892,9,1067,False,1.6926791667938232,0,360,450,20,80
1111,1843,9,1128,False,20.056268453598022,1,180,130,370,380
1576,1830,9,1617,False,1.638023853302002,1,400,220,60,480
976,1787,9,1026,False,1.7589359283447266,0,440,410,70,90
493,1653,9,695,False,1.7679719924926758,1,300,40,70,380
738,1653,9,1139,False,1.7892324924468994,1,80,30,20,410
991,1653,9,1606,False,1.6769495010375977,2,410,90,370,150
965,1613,9,1026,False,1.7318735122680664,0,270,460,40,30
585,1602,9,1137,False,1.8303327560424805,1,70,50,250,400
1689,1557,9,1511,False,1.696054458618164,0,460,470,240,40
345,1552,9,1985,False,1.8034014701843262,0,450,450,170,80
1625,1552,9,115,False,1.7322404384613037,0,450,450,70,180
1691,1502,9,1511,False,1.7041358947753906,0,380,450,120,70
762,1487,9,189,False,1.681708574295044,0,440,360,20,140
1230,1486,9,1067,False,1.6257717609405518,0,440,450,20,230
1018,1448,9,1734,False,1.7146391868591309,0,400,440,190,20
999,1417,9,1606,False,1.746518611907959,2,50,30,180,100
1103,1396,9,1128,False,1.7829437255859375,1,20,30,300,310
1773,1378,9,611,False,1.664520025253296,1,310,30,140,380
1930,1378,9,681,False,1.6383616924285889,1,280,110,30,380
1824,1343,9,1080,False,1.6793594360351562,0,300,440,80,50
852,1292,9,1784,False,1.756471872329712,0,470,310,120,60
1271,1292,9,139,False,1.7124133110046387,0,480,440,260,60
1314,1292,9,629,False,1.6772639751434326,0,470,360,210,20
562,1287,9,1730,False,1.7867519855499268,0,420,480,190,110
