id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
1846,2701,2,52,False,2.380383014678955,2,380,420,150,260
628,2415,2,177,False,20.087761163711548,2,380,360,320,210
788,1953,2,177,False,2.4491117000579834,1,450,480,170,140
1965,1770,2,52,False,2.1752700805664062,1,460,390,210,50
1989,1711,2,52,False,2.1921727657318115,1,330,460,140,70
1973,1653,2,52,False,2.3187577724456787,1,480,480,240,150
1342,1491,2,963,False,2.66105318069458,0,420,470,60,60
701,1485,2,177,False,2.2539925575256348,1,310,410,70,110
648,1431,2,177,False,2.16607928276062,1,180,460,40,70
1972,1378,2,52,False,2.2105960845947266,1,440,390,170,140
